차카, 96, 151
아가, 67, 170
마카, 95, 149
라바, 88, 188
가파, 58, 140
자다, 62, 176
다다, 83, 175
사하, 89, 168
하바, 47, 163
카타, 41, 177
마아, 42, 155
마바, 56, 178
라다, 57, 152
카사, 55, 179
마바, 66, 143
바바, 57, 182
자다, 88, 195
사파, 50, 178
하사, 65, 175
하하, 54, 161
바라, 91, 144
파사, 55, 159
다마, 52, 177
마다, 57, 159
나카, 60, 141
바바, 88, 145
사하, 77, 154
마하, 41, 187
사아, 73, 146
마라, 57, 196
파사, 88, 158
하카, 66, 160
파파, 42, 160
카라, 99, 150
차마, 87, 150
카라, 59, 157
가가, 50, 158
자다, 79, 159
하하, 73, 164
다파, 63, 152
마가, 89, 149
카마, 96, 192
라타, 46, 192
가라, 96, 156
라하, 92, 175
자자, 61, 142
사하, 47, 182
바사, 53, 161
사아, 49, 170
아아, 60, 179
다차, 91, 188
다바, 54, 163
자마, 62, 159
파타, 87, 175
아마, 78, 180
아타, 78, 163
자사, 69, 180
사다, 62, 161
가타, 49, 190
마파, 89, 163
다타, 47, 184
차사, 56, 176
하마, 87, 198
사가, 88, 192
차다, 58, 186
가나, 58, 155
사바, 57, 155
차바, 65, 171
다라, 42, 186
하마, 43, 192
나파, 48, 198
라하, 84, 176
다사, 64, 156
나타, 64, 196
차가, 71, 193
바나, 99, 174
사바, 78, 190
자사, 76, 171
바바, 77, 154
자나, 65, 186
가차, 96, 193
아나, 68, 197
사타, 53, 140
카카, 93, 143
하사, 97, 188
차아, 42, 158
자파, 84, 156
다하, 98, 181
자타, 81, 143
차라, 48, 184
자아, 49, 199
마다, 92, 184
카자, 60, 146
차차, 71, 188
사자, 87, 147
마카, 66, 156
나차, 59, 141
가바, 76, 179
라하, 69, 196
자바, 83, 156
카차, 48, 145
카아, 66, 197
다마, 95, 143
마자, 40, 193
자타, 65, 168
바바, 96, 156
아가, 53, 162
카카, 99, 164
카나, 64, 153
바바, 40, 188
하타, 74, 159
하카, 43, 176
차하, 56, 157
자나, 57, 199
라타, 49, 172
다파, 93, 164
카카, 95, 159
자파, 86, 183
자자, 64, 175
다타, 76, 189
차바, 59, 166
차다, 92, 180
파차, 88, 154
타자, 58, 162
하타, 61, 199
가차, 49, 172
가가, 87, 162
라바, 56, 154
카타, 51, 179
타자, 73, 154
자아, 94, 142
하카, 98, 160
아차, 99, 147
마차, 40, 168
다가, 60, 174
타자, 47, 152
파바, 80, 181
자바, 63, 157
가라, 79, 149
하타, 68, 178
사라, 63, 191
아바, 75, 188
아라, 97, 170
카카, 67, 155
나차, 85, 172
바타, 61, 163
자자, 46, 191
타마, 90, 161
아다, 77, 158
차카, 56, 162
타바, 91, 185
라가, 99, 170
바바, 99, 194
나마, 49, 169
라가, 51, 197
가파, 81, 161
아타, 86, 178
타아, 73, 186
마다, 62, 177
타카, 74, 164
바카, 40, 185
마아, 73, 193
차다, 55, 178
사자, 75, 149
타가, 47, 160
자다, 53, 142
라카, 77, 181
아나, 64, 169
파파, 54, 166
다라, 43, 199
라타, 94, 176
다하, 77, 175
가마, 45, 161
마나, 60, 169
파가, 53, 160
바자, 92, 148
자사, 77, 157
가사, 94, 184
가나, 44, 153
차다, 45, 197
파자, 84, 143
아카, 62, 178
사아, 88, 196
라파, 93, 178
하아, 72, 144
타사, 46, 151
다바, 75, 172
다나, 94, 156
카하, 72, 186
가마, 88, 185
아라, 61, 192
라하, 84, 186
하타, 78, 165
카마, 83, 196
다사, 86, 140
바마, 59, 189
가다, 97, 147
라카, 81, 151
하라, 40, 179
다자, 66, 180
다나, 67, 148
자사, 84, 143
타하, 86, 198
카사, 65, 167
바바, 90, 173
자파, 55, 168
나가, 57, 143
파바, 84, 160
나가, 50, 164
아하, 69, 163
아나, 46, 161
사라, 96, 181
사차, 75, 172
카아, 48, 156
라차, 68, 166
사가, 55, 152
자카, 40, 193
마가, 84, 164
다자, 77, 162
타마, 79, 162
나바, 78, 142
자차, 89, 179
다마, 64, 176
카바, 54, 153
아가, 51, 187
자차, 43, 179
바바, 70, 148
파바, 93, 162
파라, 79, 148
카차, 86, 143
마하, 84, 176
자타, 76, 176
자파, 55, 151
타자, 90, 150
자나, 86, 149
타사, 75, 155
라라, 81, 177
다바, 96, 182
나하, 67, 173
아아, 42, 176
타나, 66, 178
차다, 61, 147
마바, 77, 187
타마, 89, 154
바다, 93, 170
라사, 53, 145
라카, 80, 178
라다, 44, 173
마마, 63, 189
마가, 89, 163
가마, 47, 186
카차, 61, 149
마다, 95, 180
나파, 50, 182
나마, 77, 150
아하, 81, 146
차아, 98, 169
사나, 70, 148
하카, 71, 173
사나, 91, 182
가차, 84, 188
파파, 73, 179
마라, 44, 169
아바, 47, 190
하하, 92, 155
타라, 95, 192
다나, 60, 167
카차, 42, 187
아타, 87, 153
자다, 90, 155
마파, 73, 141
타라, 90, 184
차타, 96, 152
다가, 82, 196
다바, 85, 192
마카, 46, 177
자타, 94, 199
다라, 63, 146
나카, 96, 185
라사, 76, 149
카파, 57, 150
타아, 57, 153
마라, 48, 182
아자, 83, 183
카카, 83, 171
타하, 44, 189
마하, 58, 179
자마, 71, 142
차나, 71, 162
라자, 72, 161
아마, 68, 172
가나, 95, 169
차타, 85, 174
가라, 43, 145
마차, 74, 140
바사, 42, 174
라하, 54, 191
라나, 94, 148
나하, 90, 180
자차, 82, 171
바아, 77, 185
사자, 62, 165
아라, 83, 155
파차, 92, 165
나카, 49, 146
파차, 78, 175
카바, 61, 144
자사, 95, 187
라카, 67, 186
아나, 95, 163
마바, 71, 179
사파, 45, 179
라차, 77, 165
파가, 83, 148
사라, 65, 175
바바, 40, 163
하자, 53, 198
아나, 45, 197
하사, 48, 153
사가, 48, 158
자차, 53, 183
다아, 69, 145
가타, 47, 168
다다, 76, 153
바파, 50, 195
파사, 95, 148
파하, 55, 151
가카, 60, 177
바라, 65, 191
아타, 47, 148
가하, 91, 193
아자, 59, 156
하라, 70, 189
다다, 95, 160
아카, 58, 174
사가, 98, 141
하나, 47, 172
자파, 78, 143
하자, 64, 164
자하, 71, 172
아자, 98, 196
마나, 97, 175
라카, 97, 161
나하, 53, 157
차카, 41, 173
나가, 58, 152
카다, 49, 174
타나, 62, 155
바타, 63, 186
사타, 43, 175
하아, 75, 170
바마, 91, 188
자마, 57, 158
하차, 57, 188
나마, 98, 199
나카, 69, 152
마다, 47, 169
카차, 50, 193
다하, 81, 144
마타, 41, 149
자카, 94, 153
자차, 47, 161
타하, 74, 149
타차, 57, 142
마차, 68, 173
라자, 64, 148
차아, 93, 146
나아, 42, 141
마나, 83, 178
하마, 90, 145
자카, 96, 172
바하, 66, 198
바나, 73, 188
타카, 65, 160
나라, 67, 191
카파, 54, 193
바하, 68, 180
하마, 93, 187
자타, 99, 197
타아, 40, 174
차카, 91, 178
타하, 97, 172
사아, 99, 167
자타, 93, 141
마사, 73, 153
차타, 71, 156
사아, 51, 179
라마, 52, 163
아아, 93, 144
나바, 74, 175
자카, 96, 146
자가, 53, 152
가가, 78, 171
차파, 84, 171
바카, 64, 144
아바, 69, 150
아가, 94, 157
마바, 40, 170
카카, 52, 197
차마, 91, 150
마카, 62, 167
아파, 79, 144
사아, 82, 168
가차, 87, 152
마다, 99, 153
차파, 55, 162
다카, 78, 151
타가, 97, 146
아사, 86, 194
라다, 89, 180
카하, 52, 155
자하, 56, 143
나바, 82, 186
바나, 51, 142
바사, 76, 170
하마, 54, 148
가바, 91, 175
바하, 79, 148
바차, 84, 172
가타, 89, 166
카다, 72, 149
다사, 76, 161
자나, 83, 152
다나, 61, 161
자다, 56, 195
라사, 93, 170
타라, 88, 194
타카, 65, 164
차바, 85, 180
하사, 57, 192
타차, 50, 182
사차, 54, 165
타라, 42, 178
바다, 67, 172
다나, 54, 176
차타, 61, 187
마가, 90, 184
가다, 57, 166
하마, 63, 184
나사, 85, 191
나차, 87, 153
바파, 91, 161
라카, 73, 182
아파, 77, 172
사나, 94, 172
가자, 85, 198
아라, 55, 161
아카, 97, 194
다카, 70, 148
타하, 63, 196
마라, 56, 141
마마, 46, 186
타아, 68, 177
타하, 50, 172
라차, 42, 170
아가, 46, 159
가하, 79, 147
아마, 49, 165
가가, 84, 173
차사, 77, 149
가사, 91, 164
타사, 99, 199
카카, 47, 163
카파, 70, 157
자자, 90, 168
마하, 72, 196
카가, 65, 147
하라, 57, 140
아차, 70, 147
마아, 63, 149
나나, 43, 193
타마, 77, 140
카차, 59, 154
가타, 66, 167
나가, 79, 176
자하, 48, 155
파사, 99, 154
타카, 95, 151
카자, 80, 156
자다, 86, 146
카자, 52, 199
바하, 64, 162
아사, 74, 192
바바, 45, 152
자하, 51, 189
나파, 65, 181
아바, 58, 167
아가, 61, 176
다자, 49, 161
자자, 45, 177
나카, 74, 175
나나, 72, 175
차바, 84, 167
가라, 53, 154
타차, 53, 188
다다, 47, 191
아마, 66, 146
카다, 73, 172
마다, 75, 190
가다, 67, 167
파사, 72, 153
차마, 75, 154
바파, 69, 141
라차, 94, 159
타마, 44, 153
다다, 96, 152
다나, 44, 149
가나, 43, 197
아카, 73, 161
카파, 46, 142
나나, 66, 192
타차, 69, 151
마나, 67, 182
자하, 50, 186
타차, 66, 184
파가, 84, 163
마파, 41, 156
가아, 81, 157
다파, 89, 160
나자, 52, 174
나가, 89, 192
차하, 83, 161
다하, 58, 198
라바, 53, 179
마가, 72, 186
가다, 50, 195
나바, 96, 198
타바, 89, 149
바가, 91, 155
사차, 58, 166
마자, 95, 197
나차, 93, 164
카자, 66, 148
